Gàidhlig,English,
sibhse,you,
I nó I.,I or I.,
chun,to,
an,the,
A nó A.,a or A.,
is,and,
sin,that,
sé,it,
de,of,
mise,me,
Cad,what,
ar,is,
i gceann,in,
seo,this,
a fhios a bheith agat,know,
Tá mé,I'm,
ar,for,
níl,no,
agat,have,
mo,my,
Ná,don't,
ach,just,
ní,not,
téigh,do,
is,be,
ar,on,
an ... s'agat,your,
ba,was,
sinne,we,
Tá sé,it's,
le,with,
dá réir sin,so,
seachas,but,
uile,all,
go maith,well,
a bheidh,are,
an duine,he,
ó,oh,
faoi,about,
Ar an gceart,right,
tá tú,you're,
cuir isteach ar,get,
an áit seo,here,
as,out,
Cuir ar siúl,going,
amhail,like,
tíochta,yeah,
dá,if,
a,her,
sí,she,
cannaigh,can,
ardaithe,up,
ba cheart do,want,
cuimhnigh,think,
Sin é,that's,
atá anois ann,now,
bheith ag gabháil,go,
é,him,
ag,at,
an tslí,how,
faigh,got,
thall,there,
amháin,one,
ní,did,
cén fáth,why,
cas le,see,
bheith ar fáil,come,
go maith,good,
aon duine,they,
go hiontach,really,
mar,as,
bheadh,would,
cuardaigh,look,
Cathain,when,
am,time,
tiomna,will,
ceart go leor,okay,(see also ok)
ar ais,back,
ní,can't,
meánach,mean,
cuir ar an eolas,tell,
Mé,I'll,
ó,from,
hug,hey,
baois,were,
Tá sé,he's,
inbhéis,could,
nár,didn't,
tá,yes,
a,his,
bheith le,been,
nó,or,
ní éigin,something,
EDS,who,
mar,because,
roinnt,some,
bhí ann,had,
an t -am sin,then,
maígh,say,
go maith,ok,(see also okay)
tóg,take,
an,an,
achar,way,
sinne,us,
beag,little,
Déan,make,
gá,need,
gá,gonna,
go deo,never,
Táimid,we're,
leis,too,
grá,love,
Tá sí,she's,
tá mé,I've,
ar ndóigh,sure,
iad,them,
a thuilleadh,more,
i leith,over,
an ... s'againne,our,
truamhéalach,sorry,
cá háit,where,
Cad é,what's,
áit a ligean ar cíos,let,
rud,thing,
táim,am,
b'fhéidir,maybe,
clúmh,down,
fear,man,
a bhfuil,has,
uh,uh,
an-,very,
le hais,by,
Tá,there's,
ba mhaith leat,should,
aon rud,anything,
dúradh,said,
a lán,much,
aon,any,
